Date : 2025-01-02 10:50:13
Directory : e:\fosi_stuff\ZH3_v_0_1\ZH3\proj_by_RTOS
Total : 2471 files,  383036 codes, 136354 comments, 76833 blanks, all 596223 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6                                                                                                                                                       |         85 |      3,682 |      4,715 |      1,611 |     10,008 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\ArmAsm                                                                                                                                                |          2 |          9 |         10 |         11 |         30 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\ArmAsm (Files)                                                                                                                                        |          1 |          5 |          0 |          4 |          9 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\ArmAsm\RTE                                                                                                                                            |          1 |          4 |         10 |          7 |         21 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\ArmAsm\RTE\_Target_1                                                                                                                                  |          1 |          4 |         10 |          7 |         21 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm                                                                                                                                                   |         11 |        377 |        423 |        167 |        967 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm (Files)                                                                                                                                           |          6 |         51 |          0 |         25 |         76 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm\RTE                                                                                                                                               |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm\RTE\CMSIS                                                                                                                                         |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm\RTE\Device                                                                                                                                        |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm\RTE\Device\ARMCM3                                                                                                                                 |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Asm\RTE\_Target_1                                                                                                                                     |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection                                                                                                                                      |          6 |        375 |        428 |        159 |        962 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection (Files)                                                                                                                              |          1 |         14 |          0 |          5 |         19 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection\RTE                                                                                                                                  |          5 |        361 |        428 |        154 |        943 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection\RTE\CMSIS                                                                                                                            |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection\RTE\Device                                                                                                                           |          2 |        138 |         91 |         43 |        272 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection\RTE\Device\ARMCM85                                                                                                                   |          2 |        138 |         91 |         43 |        272 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\BranchProtection\RTE\_Target_1                                                                                                                        |          1 |          6 |         11 |          8 |         25 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6                                                                                                                                             |         11 |        666 |        846 |        290 |      1,802 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6 (Files)                                                                                                                                     |          1 |         14 |          0 |          6 |         20 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP                                                                                                                                           |          6 |        340 |        423 |        148 |        911 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP (Files)                                                                                                                                   |          1 |         14 |          0 |          6 |         20 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP\RTE                                                                                                                                       |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP\RTE\CMSIS                                                                                                                                 |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP\RTE\Device                                                                                                                                |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP\RTE\Device\ARMCM3                                                                                                                         |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6PP\RTE\_Target_1                                                                                                                             |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom                                                                                                                                      |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom\RTEDIR                                                                                                                               |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom\RTEDIR\CMSIS                                                                                                                         |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom\RTEDIR\Device                                                                                                                        |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom\RTEDIR\Device\ARMCM3                                                                                                                 |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\Custom\RTEDIR\_Target_1                                                                                                                     |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\RTE                                                                                                                                         |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\RTE\CMSIS                                                                                                                                   |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\RTE\Device                                                                                                                                  |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\RTE\Device\ARMCM3                                                                                                                           |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Build_AC6\RTE\_Target_1                                                                                                                               |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags                                                                                                                                                 |          7 |        341 |        423 |        148 |        912 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags (Files)                                                                                                                                         |          2 |         15 |          0 |          6 |         21 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags\RTE                                                                                                                                             |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags\RTE\CMSIS                                                                                                                                       |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags\RTE\Device                                                                                                                                      |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags\RTE\Device\ARMCM3                                                                                                                               |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Flags\RTE\_Target_1                                                                                                                                   |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Library                                                                                                                                               |          3 |         24 |         10 |         14 |         48 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Library (Files)                                                                                                                                       |          2 |         20 |          0 |          6 |         26 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Library\RTE                                                                                                                                           |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Library\RTE\_Target_1                                                                                                                                 |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal                                                                                                                                               |          4 |        102 |         92 |         40 |        234 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal (Files)                                                                                                                                       |          1 |          5 |          0 |          3 |          8 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal\RTE                                                                                                                                           |          3 |         97 |         92 |         37 |        226 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal\RTE\Device                                                                                                                                    |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal\RTE\Device\ARMCM0                                                                                                                             |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Minimal\RTE\_Target_1                                                                                                                                 |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups                                                                                                                                          |          8 |        171 |         92 |         44 |        307 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups (Files)                                                                                                                                  |          5 |         74 |          0 |          7 |         81 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups\RTE                                                                                                                                      |          3 |         97 |         92 |         37 |        226 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups\RTE\Device                                                                                                                               |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups\RTE\Device\ARMCM0                                                                                                                        |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\NestedGroups\RTE\_Target_1                                                                                                                            |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath                                                                                                                                          |          6 |        121 |         92 |         47 |        260 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath (Files)                                                                                                                                  |          1 |         22 |          0 |          8 |         30 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\RTE                                                                                                                                      |          3 |         97 |         92 |         37 |        226 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\RTE\Device                                                                                                                               |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\RTE\Device\ARMCM0                                                                                                                        |          2 |         93 |         82 |         29 |        204 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\RTE\_Target_1                                                                                                                            |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\inc                                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\RelativePath\inc2                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone                                                                                                                                             |         14 |        813 |      1,453 |        394 |      2,660 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns                                                                                                                                     |          6 |        419 |        422 |        175 |      1,016 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns (Files)                                                                                                                             |          1 |         51 |          0 |         24 |         75 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns\RTE                                                                                                                                 |          5 |        368 |        422 |        151 |        941 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns\RTE\CMSIS                                                                                                                           |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns\RTE\Device                                                                                                                          |          2 |        144 |         85 |         40 |        269 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns\RTE\Device\ARMCM33_DSP_FP_TZ                                                                                                        |          2 |        144 |         85 |         40 |        269 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_ns\RTE\_Target_1                                                                                                                       |          1 |          7 |         11 |          8 |         26 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s                                                                                                                                      |          8 |        394 |      1,031 |        219 |      1,644 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s (Files)                                                                                                                              |          4 |         59 |          7 |         26 |         92 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s\RTE                                                                                                                                  |          4 |        335 |      1,024 |        193 |      1,552 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s\RTE\Device                                                                                                                           |          3 |        331 |      1,014 |        185 |      1,530 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s\RTE\Device\ARMCM33_DSP_FP_TZ                                                                                                         |          3 |        331 |      1,014 |        185 |      1,530 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\TrustZone\CM33_s\RTE\_Target_1                                                                                                                        |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace                                                                                                                                            |          7 |        343 |        423 |        149 |        915 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace (Files)                                                                                                                                    |          1 |         16 |          0 |          7 |         23 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\RTE                                                                                                                                        |          5 |        326 |        423 |        142 |        891 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\RTE\CMSIS                                                                                                                                  |          2 |        217 |        326 |        103 |        646 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\RTE\Device                                                                                                                                 |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\RTE\Device\ARMCM3                                                                                                                          |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\RTE\_Target_1                                                                                                                              |          1 |          8 |         12 |          8 |         28 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\AC6\Whitespace\tes t                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC                                                                                                                                                       |         71 |        960 |        341 |        382 |      1,683 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\AccessSequence                                                                                                                                        |          5 |          1 |          4 |          7 |         12 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\AccessSequence (Files)                                                                                                                                |          2 |          0 |          2 |          2 |          4 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\AccessSequence\inc                                                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\AccessSequence\inc1                                                                                                                                   |          1 |          0 |          1 |          3 |          4 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\AccessSequence\inc2                                                                                                                                   |          1 |          0 |          1 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Asm                                                                                                                                                   |          4 |         48 |          0 |         22 |         70 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\BranchProtection                                                                                                                                      |          1 |         14 |          0 |          5 |         19 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Build_GCC                                                                                                                                             |          1 |         15 |          0 |          7 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Build_GPP                                                                                                                                             |          1 |         15 |          0 |          7 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\DupFilename                                                                                                                                           |          1 |          9 |          0 |          3 |         12 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\FlagOrder                                                                                                                                             |          3 |         11 |          0 |          7 |         18 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\FlagOrder (Files)                                                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\FlagOrder\inc_a                                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\FlagOrder\inc_b                                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Flags                                                                                                                                                 |          2 |         15 |          0 |          6 |         21 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Library                                                                                                                                               |          2 |         20 |          0 |          7 |         27 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LibraryCustom                                                                                                                                         |          3 |         24 |         10 |         15 |         49 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LibraryCustom (Files)                                                                                                                                 |          2 |         20 |          0 |          7 |         27 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LibraryCustom\RTE                                                                                                                                     |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LibraryCustom\RTE\_project                                                                                                                            |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing                                                                                                                                   |          5 |        131 |        131 |         49 |        311 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing (Files)                                                                                                                           |          1 |          5 |          0 |          3 |          8 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines                                                                                                                            |          4 |        110 |         95 |         42 |        247 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines (Files)                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines\RTE                                                                                                                        |          3 |        105 |         95 |         39 |        239 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines\RTE\Device                                                                                                                 |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines\RTE\Device\ARMCM3                                                                                                          |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingDefines\RTE\_Target_1                                                                                                              |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile                                                                                                                            |          4 |        110 |         95 |         42 |        247 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile (Files)                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile\RTE                                                                                                                        |          3 |        105 |         95 |         39 |        239 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile\RTE\Device                                                                                                                 |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile\RTE\Device\ARMCM3                                                                                                          |          2 |        101 |         85 |         31 |        217 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessingSrcFile\RTE\_Target_1                                                                                                              |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing\RTE                                                                                                                               |          4 |        126 |        131 |         46 |        303 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing\RTE\Device                                                                                                                        |          3 |        122 |        121 |         38 |        281 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing\RTE\Device\ARMCM3                                                                                                                 |          3 |        122 |        121 |         38 |        281 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\LinkerPreProcessing\RTE\_Target_1                                                                                                                     |          1 |          4 |         10 |          8 |         22 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Minimal                                                                                                                                               |          1 |          5 |          0 |          3 |          8 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\NestedGroups                                                                                                                                          |          5 |         74 |          0 |          7 |         81 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Pre Include                                                                                                                                           |          3 |         28 |          0 |         10 |         38 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Pre Include (Files)                                                                                                                                   |          1 |         24 |          0 |         10 |         34 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Pre Include\include                                                                                                                                   |          2 |          4 |          0 |          0 |          4 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Pre Include\include (Files)                                                                                                                           |          1 |          2 |          0 |          0 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\Pre Include\include\include2                                                                                                                          |          1 |          2 |          0 |          0 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\RelativePath                                                                                                                                          |          3 |         24 |          0 |         11 |         35 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\RelativePath (Files)                                                                                                                                  |          1 |         22 |          0 |          9 |         31 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\RelativePath\inc                                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\RelativePath\inc2                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\StandardLibrary                                                                                                                                       |          1 |          8 |          0 |          4 |         12 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl                                                                                                                                    |         15 |        172 |          0 |         69 |        241 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project1                                                                                                                           |          5 |         59 |          0 |         23 |         82 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project1 (Files)                                                                                                                   |          2 |         56 |          0 |         20 |         76 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project1\inc                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project1\inc1                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project1\inc2                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project2                                                                                                                           |          6 |        100 |          0 |         37 |        137 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project2 (Files)                                                                                                                   |          3 |         97 |          0 |         34 |        131 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project2\inc                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project2\inc1                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| dsp\devtools-main\devtools-main\tools\buildmgr\test\testinput\Examples\GCC\TranslationControl\Project2\inc2                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
